
Aaron, Whitford, twenty-eight, 182lbs, 70in, 180-22-9481, Condition: Severe migraine

Bethany, Crayton, thirty-four, 150lbs, 64in, 290-15-2281, Condition: Gunshot wound to left arm

Marcus, Delroy, fifty-two, 201lbs, 69in, 119-55-8821, Condition: Chest pain

Janelle, Morano, forty-one, 137lbs, 63in, 331-82-1194, Condition: Shortness of breath

Trevor, Smithers, twenty-two, 165lbs, 71in, 202-13-4491, Condition: Laceration to right hand

Cynthia, Parlow, fifty-eight, 178lbs, 66in, 441-10-3920, Condition: Hip pain after fall

Damien, Ackers, nineteen, 140lbs, 68in, 552-33-2011, Condition: Concussion symptoms

Lila, Brenton, twenty-nine, 132lbs, 62in, 611-42-9991, Condition: Abdominal pain

Oscar, Mellington, sixty-three, 198lbs, 70in, 428-19-2220, Condition: High fever

Ginger, Wallis, forty-seven, 154lbs, 65in, 377-55-2002, Condition: Persistent cough

Pablo, Serrano, thirty-six, 172lbs, 69in, 188-41-9031, Condition: Finger fracture

Kiara, Denslow, thirty-one, 126lbs, 60in, 321-15-4481, Condition: Panic attack

Ronny, Halter, forty-five, 210lbs, 74in, 442-10-2019, Condition: Back strain

Michelle, Trent, twenty-six, 118lbs, 61in, 509-33-1092, Condition: Nausea and vomiting

Xavier, Paulson, fifty-seven, 233lbs, 72in, 388-11-6088, Condition: Possible stroke symptoms

Claire, Wendle, thirty-three, 145lbs, 63in, 520-66-0992, Condition: Ankle sprain

Dustin, Redd, forty, 176lbs, 68in, 277-22-1348, Condition: Allergic reaction

Nora, Simmons, twenty-one, 122lbs, 64in, 307-55-7182, Condition: Alcohol intoxication

Alan, Brixley, sixty, 190lbs, 70in, 189-61-1192, Condition: Dizziness

Patty, Orleans, sixty-five, 162lbs, 64in, 209-77-3381, Condition: Hypertension crisis

Henry, Collinsworth, thirty-eight, 205lbs, 71in, 445-81-2291, Condition: Rib injury

Jasmine, Hollow, forty-four, 141lbs, 67in, 332-16-8820, Condition: Kidney stones

Troy, Randall, twenty-seven, 158lbs, 69in, 229-51-4488, Condition: Facial laceration

Monica, Bray, thirty, 124lbs, 63in, 517-44-2901, Condition: Sprained wrist

Kevin, Silas, fifty-five, 222lbs, 73in, 199-72-6401, Condition: Diabetic complications

Yvonne, Leo, forty-nine, 133lbs, 64in, 167-21-7892, Condition: Vertigo

Brandon, Kellum, twenty-three, 175lbs, 70in, 544-90-1142, Condition: Broken toe

Tasha, Harlow, forty-two, 148lbs, 62in, 312-51-2250, Condition: Severe menstrual pain

William, Porter, sixty-one, 207lbs, 71in, 423-15-9930, Condition: Arm numbness

Jamie, Radley, twenty-five, 118lbs, 65in, 511-33-5002, Condition: Food poisoning

Jacob, Morelli, thirty-two, 180lbs, 70in, 299-44-2001, Condition: Dislocated shoulder

Lily, Patterson, nineteen, 110lbs, 62in, 318-19-7112, Condition: Dehydration

Seth, Worrick, forty-six, 196lbs, 69in, 466-12-3990, Condition: Burn on left forearm

Alana, Frosby, twenty-eight, 139lbs, 63in, 233-91-1888, Condition: Ear infection

Cameron, Ricks, thirty-seven, 215lbs, 74in, 150-60-1991, Condition: Knee pain

Harper, Lozano, twenty, 125lbs, 61in, 378-77-0890, Condition: Rash

Darius, Walton, fifty-three, 204lbs, 70in, 499-31-6522, Condition: Heart palpitations

Stella, Mertons, twenty-four, 119lbs, 63in, 278-88-4442, Condition: Tooth pain

Ramon, Garcia, twenty-nine, 168lbs, 66in, 157-66-5100, Condition: Flu symptoms

Elise, Coleman, thirty-five, 146lbs, 64in, 411-33-2882, Condition: Wrist fracture

